"","GEOID","full_geoid","white_totalE","white_less10kE","white_10kto14kE","white_15kto19kE","white_20kto24kE","white_25kto29kE","white_30kto34kE","white_35kto39kE","white_40kto44kE","white_45kto49kE","white_50kto59kE","white_60kto74kE","white_75kto99kE","white_100kto124kE","white_125kto149kE","white_150kto199kE","white_200ktomoreE","black_totalE","black_less10kE","black_10kto14kE","black_15kto19kE","black_20kto24kE","black_25kto29kE","black_30kto34kE","black_35kto39kE","black_40kto44kE","black_45kto49kE","black_50kto59kE","black_60kto74kE","black_75kto99kE","black_100kto124kE","black_125kto149kE","black_150kto199kE","black_200ktomoreE","aian_totalE","aian_less10kE","aian_10kto14kE","aian_15kto19kE","aian_20kto24kE","aian_25kto29kE","aian_30kto34kE","aian_35kto39kE","aian_40kto44kE","aian_45kto49kE","aian_50kto59kE","aian_60kto74kE","aian_75kto99kE","aian_100kto124kE","aian_125kto149kE","aian_150kto199kE","aian_200ktomoreE","asian_totalE","asian_less10kE","asian_10kto14kE","asian_15kto19kE","asian_20kto24kE","asian_25kto29kE","asian_30kto34kE","asian_35kto39kE","asian_40kto44kE","asian_45kto49kE","asian_50kto59kE","asian_60kto74kE","asian_75kto99kE","asian_100kto124kE","asian_125kto149kE","asian_150kto199kE","asian_200ktomoreE","nhpi_totalE","nhpi_less10kE","nhpi_10kto14kE","nhpi_15kto19kE","nhpi_20kto24kE","nhpi_25kto29kE","nhpi_30kto34kE","nhpi_35kto39kE","nhpi_40kto44kE","nhpi_45kto49kE","nhpi_50kto59kE","nhpi_60kto74kE","nhpi_75kto99kE","nhpi_100kto124kE","nhpi_125kto149kE","nhpi_150kto199kE","nhpi_200ktomoreE","other_totalE","other_less10kE","other_10kto14kE","other_15kto19kE","other_20kto24kE","other_25kto29kE","other_30kto34kE","other_35kto39kE","other_40kto44kE","other_45kto49kE","other_50kto59kE","other_60kto74kE","other_75kto99kE","other_100kto124kE","other_125kto149kE","other_150kto199kE","other_200ktomoreE","mixed_totalE","mixed_less10kE","mixed_10kto14kE","mixed_15kto19kE","mixed_20kto24kE","mixed_25kto29kE","mixed_30kto34kE","mixed_35kto39kE","mixed_40kto44kE","mixed_45kto49kE","mixed_50kto59kE","mixed_60kto74kE","mixed_75kto99kE","mixed_100kto124kE","mixed_125kto149kE","mixed_150kto199kE","mixed_200ktomoreE","w_nothisp_totalE","w_nothisp_less10kE","w_nothisp_10kto14kE","w_nothisp_15kto19kE","w_nothisp_20kto24kE","w_nothisp_25kto29kE","w_nothisp_30kto34kE","w_nothisp_35kto39kE","w_nothisp_40kto44kE","w_nothisp_45kto49kE","w_nothisp_50kto59kE","w_nothisp_60kto74kE","w_nothisp_75kto99kE","w_nothisp_100kto124kE","w_nothisp_125kto149kE","w_nothisp_150kto199kE","w_nothisp_200ktomoreE","hisp_totalE","hisp_less10kE","hisp_10kto14kE","hisp_15kto19kE","hisp_20kto24kE","hisp_25kto29kE","hisp_30kto34kE","hisp_35kto39kE","hisp_40kto44kE","hisp_45kto49kE","hisp_50kto59kE","hisp_60kto74kE","hisp_75kto99kE","hisp_100kto124kE","hisp_125kto149kE","hisp_150kto199kE","hisp_200ktomoreE","WHITE_less25","WHITE_25_to_34","WHITE_35_to_49","WHITE_50_to_74","WHITE_75_to_99","WHITE_100_to_149","WHITE_150_to_199","WHITE_200_more","WHITE_TOTAL","BLACK_less25","BLACK_25_to_34","BLACK_35_to_49","BLACK_50_to_74","BLACK_75_to_99","BLACK_100_to_149","BLACK_150_to_199","BLACK_200_more","BLACK_TOTAL","AI_AN_less25","AI_AN_25_to_34","AI_AN_35_to_49","AI_AN_50_to_74","AI_AN_75_to_99","AI_AN_100_to_149","AI_AN_150_to_199","AI_AN_200_more","AI_AN_TOTAL","ASIAN_less25","ASIAN_25_to_34","ASIAN_35_to_49","ASIAN_50_to_74","ASIAN_75_to_99","ASIAN_100_to_149","ASIAN_150_to_199","ASIAN_200_more","ASIAN_TOTAL","NHPI_less25","NHPI_25_to_34","NHPI_35_to_49","NHPI_50_to_74","NHPI_75_to_99","NHPI_100_to_149","NHPI_150_to_199","NHPI_200_more","NHPI_TOTAL","OTHER_less25","OTHER_25_to_34","OTHER_35_to_49","OTHER_50_to_74","OTHER_75_to_99","OTHER_100_to_149","OTHER_150_to_199","OTHER_200_more","OTHER_TOTAL","MIXED_less25","MIXED_25_to_34","MIXED_35_to_49","MIXED_50_to_74","MIXED_75_to_99","MIXED_100_to_149","MIXED_150_to_199","MIXED_200_more","MIXED_TOTAL","W_NOTHISP_less25","W_NOTHISP_25_to_34","W_NOTHISP_35_to_49","W_NOTHISP_50_to_74","W_NOTHISP_75_to_99","W_NOTHISP_100_to_149","W_NOTHISP_150_to_199","W_NOTHISP_200_more","W_NOTHISP_TOTAL","HISP_less25","HISP_25_to_34","HISP_35_to_49","HISP_50_to_74","HISP_75_to_99","HISP_100_to_149","HISP_150_to_199","HISP_200_more","HISP_TOTAL","ALL_less25","ALL_25_to_34","ALL_35_to_49","ALL_50_to_74","ALL_75_to_99","ALL_100_to_149","ALL_150_to_199","ALL_200_more","ALL_TOTAL"
"1","55001","Adams County, Wisconsin",8392,339,414,503,544,654,390,454,463,322,670,895,1237,648,381,313,165,43,4,16,6,0,0,0,0,0,0,0,10,4,0,0,3,0,37,6,0,0,17,0,0,0,7,0,0,0,2,0,5,0,0,21,0,3,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,15,0,0,13,0,1,11,21,0,11,0,27,0,191,3,0,3,7,9,5,1,14,11,13,37,0,87,1,0,0,8296,339,386,503,544,649,390,441,447,322,664,883,1237,642,371,313,165,180,0,28,0,21,5,5,26,21,1,10,45,0,8,10,0,0,1800,1044,1239,1565,1237,1029,313,165,8392,26,0,0,10,4,0,3,0,43,23,0,7,0,2,5,0,0,37,4,0,17,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,15,0,14,32,0,11,27,0,99,13,14,26,50,0,88,0,0,191,1772,1039,1210,1547,1237,1013,313,165,8296,49,10,48,55,0,18,0,0,180,3702,2107,2561,3259,2480,2164,656,330,17259
"2","55003","Ashland County, Wisconsin",5760,322,481,387,201,229,267,213,316,192,594,592,899,431,278,175,183,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,640,39,96,24,34,19,31,3,35,14,71,116,90,40,13,6,9,44,3,0,0,0,0,0,3,1,3,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,16,0,0,0,0,0,12,0,0,0,0,0,0,149,7,7,7,5,2,22,25,3,9,0,10,18,21,12,0,1,5654,322,481,378,183,229,267,213,315,192,594,583,873,431,235,175,183,186,0,0,9,38,5,6,0,1,0,25,9,26,21,43,0,3,1391,496,721,1186,899,709,175,183,5760,2,0,0,0,1,0,0,0,3,193,50,52,187,90,53,6,9,640,3,0,7,0,1,0,33,0,44,0,0,0,0,0,0,0,0,0,16,0,0,12,0,0,0,0,28,26,24,37,10,18,33,0,1,149,1364,496,720,1177,873,666,175,183,5654,47,11,1,34,26,64,0,3,186,3042,1077,1538,2606,1908,1525,389,379,12464
"3","55005","Barron County, Wisconsin",18150,713,899,788,984,1016,989,915,948,723,1642,2083,2507,1616,854,817,656,248,0,0,5,0,100,62,14,12,46,2,7,0,0,0,0,0,141,3,12,5,2,5,0,4,6,10,2,65,27,0,0,0,0,52,1,1,0,6,0,0,14,0,7,1,10,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,3,6,0,0,0,0,14,42,44,4,0,0,0,265,9,2,41,18,9,11,11,30,3,65,27,5,13,9,7,5,18058,696,899,788,983,1016,989,915,927,719,1638,2051,2497,1614,853,817,656,247,17,0,16,2,11,0,0,36,10,27,74,45,6,3,0,0,3384,2005,2586,3725,2507,2470,817,656,18150,5,162,72,9,0,0,0,0,248,22,5,20,67,27,0,0,0,141,8,0,21,11,0,1,0,11,52,0,0,0,0,0,0,0,0,0,3,6,0,56,44,4,0,0,113,70,20,44,92,5,22,7,5,265,3366,2005,2561,3689,2497,2467,817,656,18058,35,11,46,101,45,9,0,0,247,6893,4214,5350,7750,5125,4973,1641,1328,37274
"4","55007","Bayfield County, Wisconsin",6565,282,215,273,321,316,263,285,228,325,608,781,1000,625,368,401,274,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,576,34,33,29,34,29,3,11,26,18,48,129,88,51,33,10,0,16,0,0,0,0,0,0,0,0,0,2,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,179,36,2,12,0,6,2,0,6,32,4,7,25,25,7,4,11,6500,256,210,271,306,311,263,282,228,325,606,778,999,622,368,401,274,91,41,5,5,15,5,0,3,0,0,2,3,1,11,0,0,0,1091,579,838,1389,1000,993,401,274,6565,0,7,0,0,0,0,0,0,7,130,32,55,177,88,84,10,0,576,0,0,0,2,10,4,0,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,15,50,8,38,11,25,32,4,11,179,1043,574,835,1384,999,990,401,274,6500,66,5,3,5,1,11,0,0,91,2389,1205,1769,2968,2129,2114,816,559,13949
"5","55009","Brown County, Wisconsin",95301,3267,2796,3210,3358,4013,4231,3722,3940,3714,8035,10238,14118,11281,6489,6763,6126,1724,167,252,43,217,149,95,113,74,92,74,170,241,24,3,10,0,2114,63,142,97,154,207,58,242,208,126,86,300,244,119,4,61,3,2566,101,50,107,34,10,11,30,87,66,145,328,502,594,157,205,139,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490,212,198,57,60,199,238,99,106,239,222,134,393,191,58,65,19,3567,292,80,249,134,200,196,147,161,91,428,300,448,159,375,79,228,92981,3265,2633,3090,3239,3942,4207,3594,3752,3683,7720,9848,13827,11077,6401,6590,6113,6498,374,438,221,245,493,408,290,314,279,764,577,956,487,304,237,111,12631,8244,11376,18273,14118,17770,6763,6126,95301,679,244,279,244,241,27,10,0,1724,456,265,576,386,244,123,61,3,2114,292,21,183,473,502,751,205,139,2566,10,0,0,0,0,0,0,0,10,527,437,444,356,393,249,65,19,2490,755,396,399,728,448,534,79,228,3567,12227,8149,11029,17568,13827,17478,6590,6113,92981,1278,901,883,1341,956,791,237,111,6498,28855,18657,25169,39369,30729,37723,14010,12739,207251
"6","55011","Buffalo County, Wisconsin",5402,203,257,224,238,220,274,207,293,202,516,612,864,610,273,273,136,31,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,15,5,0,0,0,0,0,23,0,3,0,0,70,4,0,13,5,7,1,0,3,2,0,3,26,4,0,2,0,5341,203,256,224,237,220,274,198,292,202,510,610,832,603,271,273,136,114,0,1,0,1,15,5,9,1,0,6,5,58,7,5,1,0,922,494,702,1128,864,883,273,136,5402,0,0,30,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,23,3,0,0,46,22,8,5,3,26,4,2,0,70,920,494,692,1120,832,874,273,136,5341,2,20,10,11,58,12,1,0,114,1866,1036,1439,2262,1803,1777,550,272,11005
"7","55013","Burnett County, Wisconsin",6635,289,385,282,389,284,307,310,320,365,634,779,832,632,310,299,218,19,0,0,10,0,4,0,0,0,0,0,0,4,0,1,0,0,164,16,12,11,15,11,7,1,2,18,10,10,18,7,18,5,3,18,0,0,0,0,5,0,3,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,147,8,10,4,0,0,9,1,4,0,10,31,26,36,4,3,1,6588,289,383,276,389,284,307,285,320,365,631,779,827,632,310,299,212,60,1,4,6,4,0,0,25,2,0,6,1,5,0,0,0,6,1345,591,995,1413,832,942,299,218,6635,10,4,0,0,4,1,0,0,19,54,18,21,20,18,25,5,3,164,0,5,5,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,7,22,9,5,41,26,40,3,1,147,1337,591,970,1410,827,942,299,212,6588,15,0,27,7,5,0,0,6,60,2789,1218,2023,2895,1717,1950,606,440,13638
"8","55015","Calumet County, Wisconsin",19448,494,528,570,519,729,894,541,718,698,1298,2110,2929,2452,2035,1691,1242,98,4,0,0,0,22,0,14,7,10,0,0,0,41,0,0,0,95,0,0,46,0,0,0,8,2,2,0,6,3,11,13,0,4,385,3,0,0,22,24,0,0,17,66,0,51,94,0,5,62,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,9,0,0,0,0,0,0,0,0,0,37,10,0,0,5,8,372,32,17,10,37,11,0,6,1,51,32,45,18,29,6,77,0,19113,494,521,561,516,728,877,501,685,673,1216,2055,2903,2419,2035,1687,1242,537,41,7,9,3,1,17,40,33,74,82,131,42,53,0,4,0,2111,1623,1957,3408,2929,4487,1691,1242,19448,4,22,31,0,0,41,0,0,98,46,0,12,6,3,24,0,4,95,25,24,83,51,94,5,62,41,385,0,0,0,0,0,0,0,0,0,9,0,0,37,10,0,5,8,69,96,11,58,77,18,35,77,0,372,2092,1605,1859,3271,2903,4454,1687,1242,19113,60,18,147,213,42,53,4,0,537,4443,3303,4147,7063,5999,9099,3526,2537,40117
"9","55017","Chippewa County, Wisconsin",25316,879,1166,909,1219,1407,1020,938,1242,1024,2218,2880,3716,2512,1759,1313,1114,86,0,0,0,0,0,0,0,0,0,0,8,25,11,0,0,42,20,1,0,3,0,2,0,0,0,0,0,0,14,0,0,0,0,208,14,0,5,4,8,9,0,0,7,22,23,31,50,16,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,397,9,21,0,9,19,8,21,26,3,47,69,35,67,26,16,21,25150,870,1166,906,1219,1395,1015,936,1240,1020,2156,2870,3698,2485,1759,1306,1109,290,18,0,3,0,12,5,2,2,4,86,10,29,107,0,7,5,4173,2427,3204,5098,3716,4271,1313,1114,25316,0,0,0,8,25,11,0,42,86,4,2,0,0,14,0,0,0,20,23,17,7,45,31,66,4,15,208,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,29,39,27,50,116,35,93,16,21,397,4161,2410,3196,5026,3698,4244,1306,1109,25150,21,17,8,96,29,107,7,5,290,8421,4900,6465,10389,7559,8810,2646,2306,51496
"10","55019","Clark County, Wisconsin",12207,418,543,454,539,592,793,635,461,619,1282,1267,1960,980,686,606,372,53,8,8,0,0,0,0,5,0,16,0,0,13,0,3,0,0,31,2,0,0,6,0,0,0,6,3,0,7,0,1,3,3,0,39,0,0,0,2,6,0,2,8,0,0,1,9,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,5,4,0,0,8,4,3,6,0,9,10,7,205,21,9,9,27,7,19,16,11,2,33,13,9,8,12,6,3,11988,396,543,443,528,570,779,630,452,617,1262,1233,1928,968,672,596,371,382,30,3,11,36,34,19,10,16,15,44,37,59,17,21,23,7,1954,1385,1715,2549,1960,1666,606,372,12207,16,0,21,0,13,3,0,0,53,8,0,9,7,0,4,3,0,31,2,6,10,1,9,2,0,9,39,0,0,0,0,0,0,0,0,0,0,9,8,7,6,9,10,7,56,66,26,29,46,9,20,6,3,205,1910,1349,1699,2495,1928,1640,596,371,11988,80,53,41,81,59,38,23,7,382,4036,2828,3532,5186,3984,3382,1244,769,24961
"11","55021","Columbia County, Wisconsin",23154,697,608,558,971,743,794,1036,869,917,1946,2549,3607,2788,1946,1888,1237,171,15,25,37,0,19,34,0,6,0,0,0,0,14,0,0,21,90,4,0,0,0,0,0,0,0,0,11,6,36,0,26,7,0,132,0,5,9,3,0,0,0,0,0,11,24,22,23,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,14,10,40,18,0,66,0,11,9,0,2,9,0,12,2,0,276,12,10,50,0,39,1,1,1,0,23,22,66,17,28,3,3,22924,695,608,558,963,724,776,1036,838,917,1944,2487,3583,2777,1907,1880,1231,521,31,10,65,26,19,84,0,42,9,2,72,54,11,76,8,12,2834,1537,2822,4495,3607,4734,1888,1237,23154,77,53,6,0,0,14,0,21,171,4,0,0,17,36,26,7,0,90,17,0,0,35,22,37,0,21,132,0,0,0,0,0,0,0,0,0,82,66,20,2,9,12,2,0,193,72,40,2,45,66,45,3,3,276,2824,1500,2791,4431,3583,4684,1880,1231,22924,132,103,51,74,54,87,8,12,521,6042,3299,5692,9099,7377,9639,3788,2525,47461
"12","55023","Crawford County, Wisconsin",6375,279,246,369,358,403,281,388,323,289,482,734,981,526,299,188,229,12,0,2,3,0,4,0,0,0,0,2,0,0,1,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,104,1,19,0,35,0,2,5,3,11,6,6,8,2,0,0,6,6333,278,246,367,356,397,272,388,323,281,478,734,977,522,297,188,229,53,1,0,5,3,6,9,0,3,8,6,0,4,6,2,0,0,1252,684,1000,1216,981,825,188,229,6375,5,4,0,2,0,1,0,0,12,3,0,0,0,0,0,0,2,5,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,55,2,19,12,8,2,0,6,104,1247,669,992,1212,977,819,188,229,6333,9,15,11,6,4,8,0,0,53,2571,1374,2022,2448,1970,1657,386,466,12894
"13","55025","Dane County, Wisconsin",202232,7058,4772,4672,6014,6224,6271,6670,7592,6947,15631,20032,28198,22403,17832,20767,21149,10224,770,655,696,677,584,990,783,736,382,727,989,941,535,223,309,227,632,8,9,37,10,24,14,7,102,51,78,38,129,17,22,42,44,12652,1550,429,232,590,341,330,539,305,224,834,1179,1934,1199,927,693,1346,252,0,0,0,0,0,0,4,0,0,44,10,145,34,9,0,6,2484,289,206,100,107,181,82,89,75,128,273,318,187,159,40,161,89,7560,391,362,275,240,140,383,783,183,236,391,856,1270,448,502,516,584,196614,6799,4591,4406,5606,5954,5919,6232,7430,6659,15365,19453,27450,21878,17527,20434,20911,10983,622,538,434,570,531,660,986,356,534,695,1245,1472,689,571,544,536,22516,12495,21209,35663,28198,40235,20767,21149,202232,2798,1574,1901,1716,941,758,309,227,10224,64,38,160,116,129,39,42,44,632,2801,671,1068,2013,1934,2126,693,1346,12652,0,0,4,54,145,43,0,6,252,702,263,292,591,187,199,161,89,2484,1268,523,1202,1247,1270,950,516,584,7560,21402,11873,20321,34818,27450,39405,20434,20911,196614,2164,1191,1876,1940,1472,1260,544,536,10983,53715,28628,48033,78158,61726,85015,43466,44892,443633
